Product Name,Price,Checkout URL,ID
Activecampaign Email,39,https://aiopenclawskills.com/dpLsECf59f,activecampaign-email
Airtable Db,49,https://aiopenclawskills.com/aGWBLMeyof,airtable-db
Anthropic Assistant,49,https://aiopenclawskills.com/Z9Xrgi04Ry,anthropic-assistant
Asana Productivity,29,https://aiopenclawskills.com/if37pUDxSX,asana-productivity
Asana Tasks,29,https://aiopenclawskills.com/9IWbPuW8ox,asana-tasks
Attio CRM,59,https://aiopenclawskills.com/4xAjgBMpOB,attio-CRM
Aws Manager,69,https://aiopenclawskills.com/9B2bFGxdG9,aws-manager
Azure Manager,69,https://aiopenclawskills.com/8AvNhpaw5S,azure-manager
Beehiiv Newsletter,49,https://aiopenclawskills.com/fshVBFDHax,beehiiv-newsletter
Bigcommerce Store,49,https://aiopenclawskills.com/evAQJysaEk,bigcommerce-store
Bitly Links,19,https://aiopenclawskills.com/POOwfHUgHv,bitly-links
Brevo Email,39,https://aiopenclawskills.com/BHVobf8sTU,brevo-email
Calcom Scheduler,19,https://aiopenclawskills.com/ggOuoQsKEy,calcom-scheduler
Chargebee Billing,49,https://aiopenclawskills.com/rQo4USplcA,chargebee-billing
Claude Assistant,39,https://aiopenclawskills.com/uwRFFb4WGl,claude-assistant
Clickup Manager,49,https://aiopenclawskills.com/zOCuX2vDgp,clickup-manager
Clickup Productivity,49,https://aiopenclawskills.com/EoPIuETPj3,clickup-productivity
Close CRM,59,https://aiopenclawskills.com/vdlQZTJIY6,close-CRM
Cloudinary Media,69,https://aiopenclawskills.com/UZd3RSkGxI,cloudinary-media
Cold Outreach Sequencer,49,https://aiopenclawskills.com/ePv2RXRWuB,cold-outreach-sequencer
Competitor Intelligence Monitor,49,https://aiopenclawskills.com/xjEUcD3qh8,competitor-intelligence-monitor
Contentful CMS,49,https://aiopenclawskills.com/oocQAIXlgP,contentful-CMS
Convertkit Email,39,https://aiopenclawskills.com/qVFBKAeJMF,convertkit-email
Copper CRM,59,https://aiopenclawskills.com/Jy1MpR9SDd,copper-CRM
Crisp Support,29,https://aiopenclawskills.com/EXLlcSVbKd,crisp-support
Discord Manager,49,https://aiopenclawskills.com/k1OUncaPbF,discord-manager
Dropbox Storage,19,https://aiopenclawskills.com/xlRLzGgI8a,dropbox-storage
Dub Links,19,https://aiopenclawskills.com/BYtX52wQ1w,dub-links
Ecwid Store,49,https://aiopenclawskills.com/W71Pg4WY00,ecwid-store
Elevenlabs Voice,49,https://aiopenclawskills.com/rxgMySEGKd,elevenlabs-voice
