name,phone,email,email_host,website,category,address,city,state,zip,country,google_rank,facebook_url,instagram_url,twitter_url,linkedin_url,googlestars,googlereviewscount,yelpstars,yelpreviewscount,facebookstars,facebookreviewscount,facebookpixel,googlepixel,criteopixel,seo_schema,googleanalytics,linkedinanalytics,uses_wordpress,mobilefriendly,uses_shopify,domain_registration,domain_expiration,domain_registrar,domain_nameserver,instagram_name,instagram_is_verified,instagram_is_business_account,instagram_media_count,instagram_highlight_reel_count,instagram_followers,instagram_following,instagram_category,instagram_average_likes,instagram_average_comments,ads_yelp,ads_facebook,ads_instagram,ads_messenger,ads_adwords,g_maps,g_maps_claimed,search_keyword,search_city
Aquarium Restaurant,17133155126,landrys@dpwpr.com,barracuda.com,https://www.downtownaquariumhouston.com/aquarium-restaurant,Seafood restaurant,410 Bagby St,Houston,TX,77002,US,,,https://www.instagram.com/aquariumhouston,https://www.twitter.com/aquariumhouston,https://www.linkedin.com/company/landry,4.7,8270,4,100,,,n,y,n,n,y,n,n,y,n,1970-01-01,1970-01-01,Network Solutions,cloudflare.com,Aquarium Houston,1,1,2207,7,22853,361,Local Events,22,,,,,,,https://g.page/aquarium-restaurant-houston,claimed,Restaurants,Houston
Perbacco,17132242422,perbaccohouston@gmail.com,google.com,http://www.perbaccohouston.com/,Italian restaurant,700 Milam St,Houston,TX,77002,US,,,,,,4.6,449,4.3,232,,,n,y,n,y,n,n,n,y,n,1970-01-01,1970-01-01,Ionos Se,wix.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Perbacco/@29.7601639,-95.3651944,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xA17FD251AB8E4CF3!8m2!3d29.7601639!4d-95.3651944",claimed,Restaurants,Houston
Cultivated F B,17132289502,banderson@thelancaster.com,outlook.com,https://www.thelancaster.com/cultivated-f-b,New American restaurant,701 Texas Ave,Houston,TX,77002,US,,https://www.facebook.com/thelancasterhotelhouston,https://www.instagram.com/lancasterhotel,,https://www.linkedin.com/company/lancaster-hotel-the,4.5,282,,,5,722,n,n,n,n,y,n,n,y,n,1970-01-01,1970-01-01,Rebel,rebel.com,The Lancaster Hotel,,1,677,8,6231,910,Hotel,21,,,1,1,,1,https://g.page/TheLancasterHotel,claimed,Restaurants,Houston
Frank's Pizza,17132255656,office@frankspizza.com,google.com,http://frankspizza.com/,Pizza restaurant,417 Travis St,Houston,TX,77002,US,,https://www.facebook.com/frankspizzatx,,,,4.6,6700,4,1138,,,n,y,n,y,y,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Frank's+Pizza/@29.7613156,-95.3624924,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xF7B43726DA51BB0!8m2!3d29.7613156!4d-95.3624924",claimed,Restaurants,Houston
Treebeards,17137522601,rachel@rachelaustinpr.com,google.com,http://www.treebeards.com/,Southern restaurant (US),1100 Louisiana St,Houston,TX,77002,US,,https://www.facebook.com/treebeardsrestaurant,https://www.instagram.com/treebeardsrestaurant,,https://www.linkedin.com/company/treebeards,4.5,603,3.8,91,4.5,841,y,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,Network Solutions,cloudflare.com,Treebeards Restaurant,,1,2405,11,3139,400,Restaurants,8,1,,,,,,"https://maps.google.com/maps/place/Treebeards/@29.7575785,-95.3688453,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x97D8AD641CD0D0D4!8m2!3d29.7575785!4d-95.3688453",claimed,Restaurants,Houston
Pappas Bros. Steakhouse,17136581995,realestate@pappas.com,outlook.com,http://pappasbros.com/,Steak house,1200 McKinney St,Houston,TX,77010,US,,https://www.facebook.com/1761092590784835,https://www.instagram.com/pappasbrossteakhouse,https://www.twitter.com/pappasbros,https://www.linkedin.com/company/pappas-brothers-steakhouse,4.6,1397,4.3,468,,,n,y,n,n,y,n,n,n,n,1970-01-01,1970-01-01,Network Solutions,cloudflare.com,PappasBros,,1,1022,5,12183,480,Restaurant,55,2,1,,,,,"https://maps.google.com/maps/place/Pappas+Bros.+Steakhouse/@29.7555448,-95.3631258,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x4D3BE6BF652F0A53!8m2!3d29.7555448!4d-95.3631258",claimed,Restaurants,Houston
Xochi,17134003330,paula@pattersonandmurphy.com,outlook.com,http://www.xochihouston.com/,Oaxacan restaurant,1777 Walker St,Houston,TX,77010,US,,https://www.facebook.com/xochihou,https://www.instagram.com/xochihou,https://www.twitter.com/xochihou,,4.6,3984,4.3,1268,4,703,n,n,n,y,n,n,y,y,n,1970-01-01,1970-01-01,Launchpad.com,hostgator.com,Xochi Houston,,1,1866,6,20168,617,Restaurants,4206,73,,,,,,https://g.page/XochiHou,claimed,Restaurants,Houston
La Fisheria,17138021712,lafisheria.downtown@gmail.com,google.com,http://www.lafisheriahtx.com/,Mexican restaurant,213 Milam St,Houston,TX,77002,US,,,https://www.instagram.com/lafisheriahtx,https://www.twitter.com/lafisheria,,4.8,4145,4.2,817,,,n,y,n,n,y,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,La Fisheria,,1,997,6,6677,920,Restaurant,7,,,,,,,https://g.page/lafisheriahtx,claimed,Restaurants,Houston
Birraporetti's,17132249494,info@birraporettisfriendswood.com,rackspace.com,https://www.birraporettis.com/,Italian restaurant,500 Louisiana St,Houston,TX,77002,US,,,,,,4.2,2160,,,,,n,n,n,n,n,n,n,n,n,1970-01-01,1970-01-01,GoDaddy,aws.com,,,,,,,,,,,,,,,,https://g.page/Birras,claimed,Restaurants,Houston
Strato 550,18322808977,contact@strato550.com,google.com,https://www.strato550.com/,New American restaurant,1415 Louisiana St 43rd floor,Houston,TX,77002,US,,,https://www.instagram.com/strato550,,,4.5,112,4.3,15,,,n,y,n,y,n,n,n,y,n,1970-01-01,1970-01-01,Wix.com,wix.com,Strato 550,,1,293,4,2238,227,Restaurants,12,,,,,,,https://g.page/Strato550,claimed,Restaurants,Houston
Potente,17132371515,events@potentehouston.com,google.com,https://www.potentehouston.com/,Italian restaurant,1515 Texas Ave,Houston,TX,77002,US,,,https://www.instagram.com/potentehouston,https://www.twitter.com/potentehouston,,4.7,902,4.4,490,,,n,y,n,y,n,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Potente,,1,1784,13,13580,459,Restaurant,25,2,,,,,,https://g.page/PotenteHouston,claimed,Restaurants,Houston
Post Oak Grill,17136501700,deliveries@postoakgrill.com,self_hosted,http://www.postoakgrill.com/,New American restaurant,1111 Louisiana St,Houston,TX,77002,US,,,https://www.instagram.com/postoakgrillofficial,,https://www.linkedin.com/company/postoakgrill,4.1,213,3.1,60,,,n,y,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,wix.com,Post Oak Grill Restaurant,,1,817,4,1144,4,Restaurant,12,1,,,,,,"https://maps.google.com/maps/place/Post+Oak+Grill/@29.757125,-95.3679911,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x8A469FD5F564070F!8m2!3d29.757125!4d-95.3679911",claimed,Restaurants,Houston
Morton's The Steakhouse,17136593700,nwagner@mortons.com,messagelabs.com,https://www.mortons.com/location/mortons-the-steakhouse-houston-tx-downtown/,Restaurant,1001 McKinney St Suite A4,Houston,TX,77002,US,,,https://www.instagram.com/mortonssteak,https://www.twitter.com/mortons,https://www.linkedin.com/company/morton's-the-steakhouse,4.5,1255,3.6,296,,,n,n,n,y,y,n,n,y,n,1970-01-01,1970-01-01,Network Solutions,cloudflare.com,Morton's The Steakhouse,1,1,2377,14,135376,78,Restaurants,167,3,,,,,,"https://maps.google.com/maps/place/Morton's+The+Steakhouse/@29.756916,-95.364314,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x9994FA44E813980C!8m2!3d29.756916!4d-95.364314",claimed,Restaurants,Houston
Guadalajara Del Centro,17136500101,catering@guad.com,intermedia.net,https://guad.com/,Mexican restaurant,1201 San Jacinto St,Houston,TX,77002,US,,https://www.facebook.com/guadalajarahouston,https://www.instagram.com/guadalajarahouston,,,4.4,1421,3.7,515,3,6,n,n,n,y,y,n,n,y,n,1970-01-01,1970-01-01,NameSilo,elevology.com,Guadalajara Restaurants,,1,1727,6,2917,376,Tex-Mex Restaurant,13,1,,,,,,"https://maps.google.com/maps/place/Guadalajara+Del+Centro/@29.7540543,-95.3643192,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x22481EDD002E8C37!8m2!3d29.7540543!4d-95.3643192",claimed,Restaurants,Houston
The Blind Goat,13462981660,info@theblindgoat.com,google.com,https://www.theblindgoat.com/,Vietnamese restaurant,8145 Long Point Rd,Houston,TX,77055,US,,,https://www.instagram.com/theblindgoathtx,,,4.3,827,,,,,n,y,n,y,y,n,n,y,n,1970-01-01,1970-01-01,Tucows Domains,hover.com,The Blind Goat,,1,965,1,29962,275,Restaurant,215,2,,,,,,https://g.page/theblindgoathtx,claimed,Restaurants,Houston
Salata,17137399009,allie@strausspr.com,google.com,https://www.salata.com/,Restaurant,500 Dallas St Suite No. T-21,Houston,TX,77002,US,,,https://www.instagram.com/salatasalads,https://www.twitter.com/salatasalads,https://www.linkedin.com/company/salata---the-next-generation-salad-bar,4,23,,,,,n,n,n,n,n,n,y,n,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Salata Salad Kitchen,1,1,995,1,38115,738,Restaurant,28,3,,,,,1,"https://maps.google.com/maps/place/Salata/@29.7576906,-95.3705262,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xC4C7DAD14F293F69!8m2!3d29.7576906!4d-95.3705262",claimed,Restaurants,Houston
Theodore Rex,18328308592,pr@trexhouston.com,google.com,http://trexhouston.com/,New American restaurant,1302 Nance St unit a,Houston,TX,77002,US,,,,,,4.6,637,4.3,296,,,n,n,n,n,n,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Theodore+Rex/@29.7680807,-95.3541429,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xD257020C9AD47A9!8m2!3d29.7680807!4d-95.3541429",claimed,Restaurants,Houston
Otto’s,17136596886,tiffany@ottos2u.com,outlook.com,http://ottosbbq.com/,Barbecue restaurant,500 Dallas St # T24,Houston,TX,77002,US,,https://www.facebook.com/ottosbbq,,,,3.8,61,3.4,51,4,9,n,n,n,y,n,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Otto’s/@29.7576147,-95.3703659,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x4E57310993B40180!8m2!3d29.7576147!4d-95.3703659",claimed,Restaurants,Houston
Benihana - Houston (Downtown),17136598231,jerodriguez@benihana.com,sophos.com,https://www.benihana.com/,Japanese restaurant,1318 Louisiana St,Houston,TX,77002,US,,https://www.facebook.com/775983522477083,https://www.instagram.com/benihana,https://www.twitter.com/benihana,https://www.linkedin.com/company/benihana,4.3,3920,2.9,684,,,y,n,n,y,y,n,y,y,n,1970-01-01,1970-01-01,Network Solutions,cloudflare.com,Benihana,1,1,3744,4,250153,221,Japanese Restaurant,302,10,,,,,,"https://maps.google.com/maps/place/Benihana+-+Houston+(Downtown)/@29.7561002,-95.3697698,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x8C1703B6E7B6A04!8m2!3d29.7561002!4d-95.3697698",claimed,Restaurants,Houston
Chick-fil-A,17135051211,cfacommunityscholars@scholarshipamerica.org,barracuda.com,https://www.chick-fil-a.com/locations/tx/pennzoil-place,Fast food restaurant,711 Louisiana St STE 100,Houston,TX,77002,US,,,https://www.instagram.com/chickfila,https://www.twitter.com/appstore,https://www.linkedin.com/company/chick-fil-a-restaurants,4.1,354,3.8,39,,,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,Csc Corporate Domains,savvis.net,"Chick-fil-A, Inc.",1,1,1733,8,2071463,242,Restaurants,5586,127,,,,,1,"https://maps.google.com/maps/place/Chick-fil-A/@29.7601487,-95.3656118,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xFEA26C1D613D5962!8m2!3d29.7601487!4d-95.3656118",claimed,Restaurants,Houston
Brennan's Houston,17135229711,privateparties@brennanshouston.com,barracuda.com,https://www.brennanshouston.com/,Creole restaurant,3300 Smith St,Houston,TX,77006,US,,,https://www.instagram.com/brennanshouston,https://www.twitter.com/brennanshouston,https://www.linkedin.com/company/brennan,4.6,3161,,,,,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,Network Solutions,cloudflare.com,Brennans of Houston,,1,2471,8,12508,3777,Cajun & Creole Restaurant,375,9,,,,,,https://g.page/brennanshouston,claimed,Restaurants,Houston
Andes Cafe,18322908823,info@andescafe.com,proofpoint.com,http://www.andescafe.com/,South American restaurant,401 Franklin St Ste 1275,Houston,TX,77002,US,,,https://www.instagram.com/andescafehouston,https://www.twitter.com/andescafehou,,4.1,954,4,452,,,y,y,n,y,y,n,y,y,n,1970-01-01,1970-01-01,Squarespace Domains,googledomains.com,Andes Cafe,1,1,296,9,8250,82,Restaurant,152,9,,,,,,https://g.page/andescafehouston,claimed,Restaurants,Houston
Oporto Fooding House &amp; Wine,17135280115,ninfa@oportomidtown.us,google.com,http://www.oportomidtown.us/,Portuguese restaurant,125 W Gray St #500,Houston,TX,77019,US,,,https://www.instagram.com/oportomidtown,https://www.twitter.com/portowino,,4.6,1774,4.4,1612,,,n,n,n,y,y,n,y,y,n,1970-01-01,1970-01-01,Register.com,register.com,Oporto Fooding House & Wine,,1,340,4,5596,553,Restaurant,14,1,,,,,,https://g.page/OportoMidtownHouston,claimed,Restaurants,Houston
